,id,values,tconst,primaryTitle,averageRating
211,tt1182350,0.01761477112566166,tt1182350,You Will Meet a Tall Dark Stranger,6.3
212,tt0134119,0.017599604239386106,tt0134119,The Talented Mr. Ripley,7.4
213,tt1656186,0.0175830257964233,tt1656186,Stolen,5.5
214,tt0119668,0.01752834142205616,tt0119668,Midnight in the Garden of Good and Evil,6.6
215,tt0251114,0.017503502257503075,tt0251114,Hart's War,6.3
216,tt0093565,0.01749684041544473,tt0093565,Moonstruck,7.1
217,tt0113161,0.017480735570440116,tt0113161,Get Shorty,6.9
218,tt0119396,0.017454755806670576,tt0119396,Jackie Brown,7.5
219,tt0087781,0.017428390636360425,tt0087781,The Natural,7.5
220,tt0112462,0.017416477966441097,tt0112462,Batman Forever,5.4
221,tt1598778,0.017381556526872174,tt1598778,Contagion,6.7
222,tt0350261,0.017362730768097162,tt0350261,An Unfinished Life,7.0
223,tt0120632,0.017347822609478748,tt0120632,City of Angels,6.7
224,tt0119217,0.01730079859426173,tt0119217,Good Will Hunting,8.3
225,tt2172584,0.017258672847651375,tt2172584,Maps to the Stars,6.2
226,tt0118548,0.01725365204718574,tt0118548,Absolute Power,6.7
227,tt2032572,0.017243738639781972,tt2032572,USS Indianapolis: Men of Courage,5.2
228,tt2338454,0.017209983201124518,tt2338454,Unicorn Store,5.5
229,tt0109348,0.01720498612513205,tt0109348,Bullets Over Broadway,7.4
230,tt0285823,0.017171627087627594,tt0285823,Once Upon a Time in Mexico,6.4
231,tt5721088,0.017111681598986295,tt5721088,Just Getting Started,4.5
232,tt0099371,0.017095043982816267,tt0099371,Days of Thunder,6.1
233,tt0259324,0.01704376249310443,tt0259324,Ghost Rider,5.2
234,tt0265029,0.017003073031684284,tt0265029,America's Sweethearts,5.7
235,tt0116448,0.016994792371449106,tt0116448,The Great White Hype,5.5
236,tt0206634,0.016991564970435358,tt0206634,Children of Men,7.9
237,tt0164212,0.01698220696455233,tt0164212,Under Suspicion,6.5
238,tt2334873,0.016922278208821712,tt2334873,Blue Jasmine,7.3
239,tt0149261,0.016895421592431743,tt0149261,Deep Blue Sea,5.9
240,tt0068646,0.016894293370921527,tt0068646,The Godfather,9.2
241,tt1071875,0.016871777279168155,tt1071875,Ghost Rider: Spirit of Vengeance,4.3
242,tt0489099,0.01685186188880186,tt0489099,Jumper,6.1
243,tt0327056,0.016835815146517226,tt0327056,Mystic River,7.9
244,tt0119395,0.016811455102479663,tt0119395,The Jackal,6.4
245,tt0101516,0.0168031347989951,tt0101516,Bugsy,6.8
246,tt0110687,0.016766332127401067,tt0110687,North,4.5
247,tt0217505,0.016727718742439127,tt0217505,Gangs of New York,7.5
248,tt0317705,0.01672028369757199,tt0317705,The Incredibles,8.0
249,tt0113627,0.01671418952908943,tt0113627,Leaving Las Vegas,7.5
250,tt6285944,0.016680729245147893,tt6285944,The Banker,7.3
251,tt1274586,0.016672659020731787,tt1274586,Dying of the Light,4.4
252,tt0120601,0.016669856790050393,tt0120601,Being John Malkovich,7.7
253,tt0460792,0.016660351387546738,tt0460792,Fast Food Nation,6.3
254,tt1250777,0.016634028637536127,tt1250777,Kick-Ass,7.6
255,tt0105226,0.016624243583649306,tt0105226,Red Rock West,7.0
256,tt0112401,0.016619347743461948,tt0112401,Assassins,6.4
257,tt1748122,0.016608023433973794,tt1748122,Moonrise Kingdom,7.8
258,tt3312830,0.016554338023125052,tt3312830,Youth,7.3
259,tt7394816,0.016514830957664223,tt7394816,Primal,4.9
260,tt0138524,0.016474902373122415,tt0138524,Intolerable Cruelty,6.2
261,tt0947802,0.016459605959569714,tt0947802,Lakeview Terrace,6.1
262,tt1276104,0.016446136667467887,tt1276104,Looper,7.4
263,tt0110167,0.016445466254846094,tt0110167,It Could Happen to You,6.4
264,tt3687398,0.016432303301216845,tt3687398,The Runner,4.7
265,tt0462200,0.016416967316342478,tt0462200,Black Snake Moan,6.9
266,tt0114496,0.016403757914211132,tt0114496,Something to Talk About,5.7
267,tt0374536,0.016399164962473758,tt0374536,Bewitched,4.8
268,tt0120647,0.01639631442222785,tt0120647,Deep Impact,6.2
269,tt0450345,0.016364987180153442,tt0450345,The Wicker Man,3.7
270,tt0245562,0.0163557944570309,tt0245562,Windtalkers,6.1
271,tt0116367,0.016298454887103703,tt0116367,From Dusk Till Dawn,7.2
272,tt3733774,0.01629689933635442,tt3733774,The Trust,5.4
273,tt0086969,0.01626746050275137,tt0086969,Birdy,7.3
274,tt0116908,0.0162333005298121,tt0116908,The Long Kiss Goodnight,6.8
275,tt0120815,0.016232358113706137,tt0120815,Saving Private Ryan,8.6
276,tt1366365,0.016230981588458187,tt1366365,The Cold Light of Day,4.9
277,tt0109951,0.016226011447485,tt0109951,Guarding Tess,6.2
278,tt0100685,0.016217847744111554,tt0100685,State of Grace,7.2
279,tt0167404,0.01620349301920656,tt0167404,The Sixth Sense,8.1
280,tt1925431,0.01619868649745471,tt1925431,Fire with Fire,5.6
281,tt0472062,0.01619451689754395,tt0472062,Charlie Wilson's War,7.0
282,tt0110684,0.01618656937850175,tt0110684,Nobody's Fool,7.4
283,tt1234548,0.016180797060759165,tt1234548,The Men Who Stare at Goats,6.2
284,tt0227984,0.016175166920045933,tt0227984,Formula 51,6.3
285,tt0171580,0.016148112329487097,tt0171580,Nurse Betty,6.1
286,tt0219854,0.016144567033129133,tt0219854,The Kid,6.1
287,tt0914863,0.01612579311683444,tt0914863,Unthinkable,7.1
288,tt0432283,0.016119037596625595,tt0432283,Fantastic Mr. Fox,7.9
289,tt0876563,0.016072469102170805,tt0876563,Ponyo,7.7
290,tt0110148,0.016066538998528862,tt0110148,Interview with the Vampire: The Vampire Chronicles,7.5
291,tt0099674,0.016062105293509987,tt0099674,The Godfather: Part III,7.6
292,tt0097441,0.016035572630987777,tt0097441,Glory,7.8
293,tt0405159,0.016012429191611072,tt0405159,Million Dollar Baby,8.1
294,tt0115641,0.016001573239227736,tt0115641,Beavis and Butt-Head Do America,6.8
295,tt0118971,0.015994024308783154,tt0118971,The Devil's Advocate,7.5
296,tt1552224,0.015934391640381507,tt1552224,Outcast,4.6
297,tt1137450,0.01593425093685123,tt1137450,Death Wish,6.4
298,tt0091167,0.015914978286033065,tt0091167,Hannah and Her Sisters,7.9
